atom_id,umap1,umap2,S_avg,c_label
1,4.313269,3.881389,-6.704,0
2,3.6022837,3.5716774,-7.069,1
3,4.309746,3.8746135,-6.858,1
4,3.652516,3.5633276,-7.163,1
5,4.327192,3.8451257,-7.049,1
6,3.8302755,3.3668346,-7.361,1
7,4.189077,3.5890698,-7.012,1
8,3.6674707,3.6326344,-7.198,1
9,3.9748604,3.175848,-6.815,1
10,3.8652906,3.238533,-6.694,1
11,3.1541698,3.1979918,-6.975,1
12,3.0852587,3.2609866,-6.899,1
13,2.875261,3.1559563,-6.625,1
14,2.9156704,3.3020208,-6.511,1
15,3.1838188,3.7364957,-6.331,1
16,2.9730277,3.0675383,-6.167,1
17,-0.6135789,5.2040997,-6.004,1
18,2.9267244,2.972983,-5.905,1
19,2.4554827,3.0977116,-5.815,1
20,2.7042315,2.914266,-5.643,1
21,2.4683473,3.0989985,-5.53,0
22,0.4589143,4.230738,-5.474,0
23,-0.5959691,5.4279613,-5.295,0
24,-0.2053927,-0.37555435,-5.243,0
25,0.780415,0.67570895,-5.065,0
26,0.4657027,-0.030101333,-5.11,0
27,-0.7517379,4.7368083,-5.015,0
28,-0.20240554,0.9495014,-4.957,0
29,-1.0835867,-0.25107867,-4.993,0
30,-1.029942,0.048223868,-4.983,0
31,0.30098906,2.9555793,-4.991,0
32,-1.6959203,-0.4291904,-5.05,0
33,-2.315718,-0.084195256,-4.983,0
34,-1.637778,1.9794483,-5.174,0
35,-0.7265852,-0.12858853,-5.24,0
36,-1.7517865,1.7975096,-5.086,0
37,-0.07787597,-0.45270708,-5.001,0
38,-0.48578435,-0.24832857,-5.035,0
39,-2.541627,0.8369435,-5.116,0
40,-1.7723678,3.3316216,-5.199,0
41,-1.7494763,0.3484911,-5.139,0
42,-1.1157912,-0.25100735,-5.125,0
43,-0.41905156,-0.8270667,-5.109,0
44,0.07024181,0.832456,-5.163,0
45,-1.9978894,2.5538187,-5.048,0
46,-2.2358072,-0.7521785,-5.072,0
47,-2.6594815,-1.0748132,-5.01,0
48,-1.3789722,2.2580616,-5.053,0
49,-0.7208019,4.4781165,-5.036,0
50,0.5913881,-0.012761991,-5.0,0
51,-0.66774374,4.0272923,-5.141,0
52,-0.4705544,5.5028257,-5.111,0
53,-2.5792022,0.509213,-5.175,0
54,-0.4479653,2.2359884,-5.237,0
55,-1.8972639,-1.106127,-5.272,0
56,-0.91163,-0.46182364,-5.291,0
57,-2.475973,2.269692,-5.27,0
58,-1.1905079,4.0024476,-5.193,0
59,-2.8391783,-0.19931442,-5.188,0
60,-2.628962,1.8558439,-5.168,0
61,-2.1267033,3.374747,-5.105,0
62,-0.513323,5.6158466,-5.169,0
63,-2.9078295,1.0728997,-5.242,0
64,-0.9421352,0.65882695,-5.237,0
65,-1.038782,1.4285455,-5.489,1
66,-0.5169384,0.25127333,-5.769,1
67,-2.1672935,-0.5446683,-5.762,1
68,-0.5062778,0.28464288,-5.916,1
69,2.241895,2.4234416,-5.9,1
70,0.3741728,5.283444,-6.127,1
71,3.2277923,2.6136453,-6.126,1
72,3.3655624,2.6308956,-6.364,1
73,3.469834,2.509186,-6.307,1
74,3.3826134,2.6152704,-6.444,1
75,3.018126,2.4275126,-6.449,1
76,3.1557915,1.7829572,-6.556,1
77,2.9265838,2.1643634,-6.537,1
78,3.1373277,1.6505103,-6.55,1
79,2.9673169,2.1279807,-6.234,1
80,3.3419433,1.6327872,-6.434,1
81,3.4924016,2.2287052,-6.274,1
82,3.1863384,1.6682433,-6.429,1
