step,t,atom_id,mol_id,x,y,z,S_i,S_avg,c_label
1,13000000,3593,24.0,12.2458,8.76284,13.8087,-3.788,-5.162,0
1,13000000,3594,24.0,11.9269,8.63781,13.9989,-2.526,-5.183,0
1,13000000,3595,24.0,11.9562,8.3434,14.2343,-4.176,-5.178,0
1,13000000,3591,24.0,12.8786,8.92303,13.8258,-4.371,-5.168,0
1,13000000,271,2.0,1.23028,2.12059,3.01161,-2.356,-4.974,0
1,13000000,4529,31.0,9.56873,0.643615,13.2287,-3.85,-5.807,1
1,13000000,3590,24.0,13.1825,8.7145,13.9485,-4.249,-5.122,0
1,13000000,3592,24.0,12.5408,8.88986,14.0338,-5.669,-5.157,0
1,13000000,8668,58.0,4.17924,14.2675,10.0136,-4.306,-5.452,0
1,13000000,4535,31.0,9.17383,14.9066,13.6368,-5.022,-5.253,0
1,13000000,272,2.0,1.46479,2.32408,3.24598,-4.146,-4.944,0
1,13000000,269,2.0,0.86321,1.59035,2.9983,-4.313,-4.871,0
1,13000000,270,2.0,1.17741,1.75501,3.15284,-2.807,-4.906,0
1,13000000,268,2.0,0.538404,1.80482,2.92212,-5.212,-4.897,0
1,13000000,4532,31.0,9.52079,15.6794,13.6664,-3.316,-5.405,0
1,13000000,3701,25.0,3.66348,5.82653,1.19277,-3.204,-5.041,0
1,13000000,3179,22.0,5.41593,8.17608,12.9891,-4.792,-5.401,0
1,13000000,8642,58.0,0.396202,10.0461,13.1171,-4.347,-5.219,0
1,13000000,4531,31.0,9.43677,16.0467,13.5645,-4.207,-5.452,0
1,13000000,4205,29.0,4.86578,3.9682,15.1619,-3.09,-5.223,0
1,13000000,5936,40.0,10.7225,6.65972,0.804839,-3.854,-5.007,0
1,13000000,3589,24.0,13.4531,8.6533,13.6758,-4.578,-5.098,0
1,13000000,4800,32.0,12.8275,8.60084,2.06652,-6.767,-5.083,0
1,13000000,3693,25.0,3.30134,7.96586,0.676878,-3.112,-5.256,0
1,13000000,8645,58.0,15.956,10.9332,12.9424,-5.637,-5.188,0
1,13000000,8644,58.0,16.1922,10.6321,12.8698,-4.584,-5.17,0
1,13000000,8643,58.0,0.314494,10.4185,13.1906,-6.849,-5.203,0
1,13000000,8646,58.0,15.9098,11.1685,12.6264,-5.043,-5.212,0
1,13000000,8647,58.0,15.6763,11.4802,12.7298,-6.92,-5.152,0
1,13000000,8648,58.0,15.6645,11.7585,12.4366,-3.448,-5.126,0
1,13000000,3586,24.0,13.9874,8.19141,13.4772,-6.631,-5.1,0
1,13000000,3585,24.0,14.3239,8.08871,13.3247,-5.082,-5.132,0
1,13000000,3183,22.0,6.57651,8.07432,12.366,-5.435,-5.501,0
1,13000000,5933,40.0,9.76451,6.77243,0.908493,-3.313,-4.964,0
1,13000000,5942,40.0,12.5396,6.75971,0.758705,-4.115,-5.164,0
1,13000000,4204,29.0,4.91914,3.84483,14.7804,-5.79,-5.291,0
1,13000000,4202,29.0,4.74679,3.77757,14.1695,-4.652,-5.342,0
1,13000000,4201,29.0,4.46494,3.79382,13.9032,-7.759,-5.432,0
1,13000000,4203,29.0,4.62639,3.88164,14.524,-3.694,-5.241,0
1,13000000,2431,17.0,4.5293,14.2125,7.17173,-6.275,-5.461,0
