row,umap1,umap2
0,16.733183,4.775971
1,14.432788,12.569048
2,-12.455945,3.8670437
3,2.0700831,7.586234
4,2.049826,8.6342745
5,2.2753885,8.841809
6,3.391412,8.741331
7,6.398271,1.4022546
8,-2.8924003,4.8085284
9,0.09403432,3.0787928
10,-1.493309,4.4722967
11,-1.6917408,5.170001
12,1.9374574,7.617099
13,2.0601313,8.681127
14,2.5180755,7.3287935
15,1.9672216,7.0490947
16,3.2850738,8.367063
17,2.8565106,8.050991
18,3.3636072,7.7939625
19,2.3934023,8.39045
20,2.726709,7.1063004
21,3.249786,6.8508463
22,4.0949335,6.5112453
23,2.763019,4.139835
24,3.680569,3.993915
25,3.2191377,4.1121902
26,3.395881,5.556407
27,3.6232195,0.8004363
28,-2.2945707,1.4011024
29,-3.136079,0.9319746
30,3.8359113,0.49446952
31,3.434762,2.761343
32,3.3676026,-0.80969435
33,-1.4735762,-0.2586106
34,-2.765452,1.0255877
35,4.283479,-0.6772995
36,-2.2566078,3.0214312
37,-3.0021317,4.261387
38,5.884943,1.5436532
39,5.371918,1.2729893
40,-1.1586024,3.3002665
41,-0.89539987,2.7521515
42,-0.31317174,0.9738464
43,-1.0154982,1.0202059
44,5.235757,0.019680085
45,3.578694,3.8355744
46,3.2280788,0.7939408
47,-1.7553213,0.37119076
48,-2.5520713,0.22803931
49,2.9316027,0.06674418
50,4.9814696,-0.06033408
51,-3.07505,4.954343
52,-0.05658517,3.074791
53,-0.9636533,2.4164684
54,-1.2745391,3.6099901
55,1.6447498,5.365595
56,-2.014596,4.824636
57,-2.9148448,3.5722425
58,-1.6889638,2.12318
59,4.765847,1.1591848
60,2.3136797,3.4616497
61,4.03199,4.3287997
62,3.5238965,3.3032625
63,4.0282817,3.952727
64,4.047505,4.083898
65,2.784423,4.7791967
66,2.5839932,3.471119
67,2.1963634,3.8067389
68,4.070794,6.158481
69,4.0893135,7.8249226
70,4.2291417,6.94769
71,3.9679956,7.837129
72,3.278893,8.522028
73,2.8486664,8.858599
74,2.592364,9.187518
75,2.5737498,9.315996
76,2.8410456,10.081473
77,2.5558765,8.65732
78,3.192551,8.76304
79,2.803674,7.034571
80,3.8599553,8.788792
81,2.2327282,7.0727386
82,3.9842324,7.0157022
83,1.6012233,6.038592
84,3.166168,7.761788
85,1.6067964,6.2367153
86,5.6831408,1.3899935
87,-2.4704125,5.045332
88,0.20154715,2.772265
89,-0.87815475,2.2677245
90,-2.498639,2.8277469
91,5.5473757,1.2847649
92,2.6637843,6.5865946
93,5.6957073,1.3660738
94,-1.7723948,4.0473886
95,-2.5135434,3.2605624
96,4.07932,5.672319
97,3.4255574,2.7646883
98,3.7450726,-0.544522
99,-0.55606115,0.17629087
100,-1.4457673,2.1535945
101,4.7402434,-0.6566651
102,-1.7695731,5.0243835
103,-2.2068822,5.1875477
104,5.5490055,1.3580312
105,1.8951188,7.9472775
106,2.23255,9.481252
107,1.9279622,9.153888
108,2.3423612,9.90773
109,1.8959655,9.105472
110,2.5060792,10.068465
111,2.0871046,9.345461
112,2.3807676,9.58383
113,2.654946,9.703797
114,2.2575917,9.209248
115,2.7949965,10.255145
116,2.2503932,9.481163
117,2.7130702,10.252958
118,2.319623,9.752196
119,2.3149624,9.445239
120,2.8930917,10.265303
121,2.5837934,9.2221
122,2.98389,9.363714
